,Train Loss,Validation Loss
0,1.1185267,1.2520953
1,1.0971503,1.2844688
2,1.0843582,1.1668255
3,1.0732371,1.1426653
4,1.0624788,1.1387664
5,1.0525337,1.1252484
6,1.0427084,1.0542693
7,1.0334038,1.0434662
8,1.0236304,0.98785216
9,1.0143105,0.99336743
10,1.0050633,0.9814962
11,0.9960568,0.97261965
12,0.98726624,0.9628229
13,0.978696,0.9875743
14,0.97017795,0.97574186
15,0.9619891,0.9725508
16,0.9543338,0.9687894
17,0.94707036,0.9460657
18,0.94024247,0.94796574
19,0.9335885,0.94230074
20,0.9271974,0.9383912
21,0.9214043,0.93930924
22,0.91606295,0.93214244
23,0.9110758,0.9244198
24,0.9066209,0.91924083
25,0.9023191,0.9165881
26,0.898627,0.91460705
27,0.8949845,0.909404
28,0.8918955,0.90618056
29,0.88898844,0.9033785
30,0.88612235,0.9001045
31,0.8836209,0.8991276
32,0.8813731,0.897749
33,0.8793465,0.8962719
34,0.87743014,0.89454335
35,0.8756964,0.8930226
36,0.8742012,0.8919901
37,0.8727632,0.8906582
38,0.87144667,0.8890478
39,0.87017286,0.8869638
40,0.86897165,0.8864764
41,0.8678755,0.8859348
42,0.86685854,0.8851377
43,0.86594224,0.88414866
44,0.86513287,0.883536
45,0.86438453,0.88231367
46,0.8636235,0.8821042
47,0.8629254,0.88127905
48,0.8622443,0.88131255
49,0.8615964,0.8802099
50,0.8609934,0.8795746
51,0.86046416,0.8790506
52,0.85996336,0.87850183
53,0.85958004,0.87813133
54,0.85912097,0.8773802
55,0.8587016,0.87723476
56,0.85820794,0.87753415
57,0.8578372,0.8771144
58,0.85746866,0.87665117
59,0.8571192,0.8761657
60,0.8568045,0.875524
61,0.8564945,0.87527114
62,0.85621,0.87520295
63,0.8559052,0.8750952
64,0.85564846,0.87468904
65,0.855369,0.8743951
66,0.8551625,0.874141
67,0.8549378,0.87411046
68,0.8547412,0.87389165
69,0.85451347,0.87368137
70,0.85429484,0.8734463
71,0.85413265,0.87319094
72,0.8539081,0.87301785
73,0.85380834,0.87292254
74,0.85366035,0.8726359
75,0.85340744,0.87253726
76,0.8533057,0.87251097
77,0.853124,0.8722717
78,0.8529845,0.8723235
79,0.8528041,0.8719957
80,0.8526965,0.87195164
81,0.85261524,0.8718359
82,0.85248756,0.8716565
83,0.8523707,0.8714443
84,0.85226434,0.8716284
85,0.8521529,0.87144154
86,0.8520336,0.87164336
87,0.8519119,0.8714297
88,0.8518094,0.87131995
89,0.8516512,0.87117195
90,0.8516124,0.8708871
91,0.8515227,0.87097967
92,0.85145515,0.8708186
93,0.8513491,0.8704902
94,0.85130256,0.8704251
95,0.85124135,0.8704606
96,0.8511449,0.8705729
97,0.85108334,0.8703437
98,0.85098785,0.8702863
99,0.8509344,0.8701146
100,0.85085636,0.87057894
101,0.8507443,0.87006813
102,0.8506768,0.87027645
103,0.850609,0.870065
104,0.8505132,0.87015647
105,0.85044044,0.8700042
106,0.8503975,0.86950535
107,0.8502702,0.8694639
108,0.85026944,0.86935866
109,0.85019606,0.8693707
110,0.850116,0.86937714
111,0.85005194,0.8692535
112,0.8500284,0.869205
113,0.8500214,0.8691657
114,0.849959,0.86914074
115,0.84992486,0.8691298
116,0.8498929,0.8691483
117,0.84988,0.86910444
118,0.84979016,0.86907274
119,0.8497286,0.8689864
120,0.8497294,0.86897737
121,0.84973896,0.8689976
122,0.84968835,0.8689412
123,0.8496979,0.8689023
124,0.8496426,0.868892
125,0.849616,0.8688578
126,0.8496029,0.86891836
127,0.8495387,0.86880505
128,0.8494836,0.86881316
129,0.84946287,0.8687542
130,0.84944594,0.8687243
131,0.8494539,0.8687111
132,0.8494097,0.86871713
133,0.8494097,0.86866003
134,0.849383,0.8686355
135,0.8494011,0.86865616
136,0.84936446,0.86862445
137,0.84931785,0.868611
138,0.8493256,0.8685867
